"subjects" "actnames" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
1 "LAYING" 0.22159824334 -0.040513953434 -0.11320355298 -0.928056469 -0.83682740522 -0.82606140262 -0.24888179768 0.70554977346 0.445817721 -0.8968300184 -0.90772000696 -0.85236629042 0.08108653418 0.00383820464 0.010834237398 -0.958482112 -0.9241492736 -0.9548551116 -0.01655309392 -0.06448612402 0.14868943634 -0.87354386662 -0.9510904408 -0.9082846624 -0.107270948772 -0.04151728688 -0.07405012172 -0.9186085216 -0.9679072444 -0.95779016 -0.8419291537 -0.79514486296 -0.8419291537 -0.79514486296 -0.9543962656 -0.9282456278 -0.8747595486 -0.81901017116 -0.9634610286 -0.9358409828 -0.939099053 -0.86706520398 -0.882666875 -0.9244374338 -0.8336255577 -0.81289156024 -0.9570738828 -0.9224626104 -0.948060903 -0.964160709 -0.932217871 -0.960586987 -0.85024917418 -0.9521914958 -0.9093027216 -0.8822964502 -0.9512320482 -0.9165825076 -0.8617676493 -0.79830094026 -0.9333003614 -0.9218039762 -0.8621901864 -0.82431944028 -0.9423669474 -0.9326606674
1 "SITTING" 0.261237565425532 -0.00130828771276596 -0.104544182255319 -0.977229008297872 -0.922618641914894 -0.93958629106383 0.831509933404255 0.204411592680851 0.332043702765957 -0.968457145744681 -0.935517055957447 -0.949040933191489 0.077482519893617 -0.000619102734042554 -0.00336779237021277 -0.986430711276596 -0.981371965319149 -0.987910804468085 -0.045350056587234 -0.091924154893617 0.0629313812765957 -0.977211283191489 -0.966473895319149 -0.941425920851064 -0.0936793806382979 -0.0402118124255319 -0.0467026269829787 -0.99173159212766 -0.989518068510638 -0.987935806382979 -0.948536786170213 -0.927078418723404 -0.948536786170213 -0.927078418723404 -0.987364195531915 -0.984120024042553 -0.93089249 -0.934531840425532 -0.991976341276596 -0.988308728510638 -0.979641238723404 -0.944084550425532 -0.959184889148936 -0.976412313191489 -0.917275006382979 -0.934469558085106 -0.986597022553191 -0.981579467021277 -0.986053092340425 -0.987492994468085 -0.982513909574468 -0.988339184893617 -0.976161464042553 -0.975838585319149 -0.951315544468085 -0.977904227021277 -0.962345042553192 -0.94391784106383 -0.947782922553192 -0.928444801702128 -0.985262126808511 -0.981606177446808 -0.958435589361702 -0.932198374893617 -0.989797547234043 -0.987049617234043
1 "STANDING" 0.278917629433962 -0.0161375901018868 -0.11060181754717 -0.995759901886792 -0.973190056415094 -0.979775878490566 0.942952000188679 -0.272983832264151 0.0134905823396226 -0.99376298509434 -0.981225958490566 -0.976324062641509 0.0753766542075472 0.00797573094528302 -0.00368524952811321 -0.994604543207547 -0.985648732830189 -0.992251176226415 -0.0239877349320755 -0.059397221 0.0748007509433962 -0.987191947169811 -0.987734440188679 -0.98064562754717 -0.0996092124716981 -0.0440627877735849 -0.0489505466943396 -0.992945108301887 -0.995137916792453 -0.992108467735849 -0.984278208301887 -0.981942928301887 -0.984278208301887 -0.981942928301887 -0.992367792075472 -0.993096209622642 -0.97649379245283 -0.978690028490566 -0.994966790377358 -0.994733238113208 -0.995249932641509 -0.977070848113208 -0.985297097924528 -0.996028345471698 -0.972293102641509 -0.977937260188679 -0.994630796037736 -0.985418703773585 -0.990752166415094 -0.995073759622642 -0.987018226415094 -0.992349818301887 -0.986386785471698 -0.988984454339623 -0.980773123773585 -0.987497127924528 -0.987107728301887 -0.982345330188679 -0.985356360943396 -0.982313805471698 -0.992542477358491 -0.992536003962264 -0.984617624150943 -0.978466071886792 -0.994815377358491 -0.994671124150943
1 "WALKING" 0.277330759157895 -0.0173838186378947 -0.111148103178947 -0.283740258947368 0.114461337485263 -0.260027901368421 0.935223201789474 -0.282165020842105 -0.0681028638947368 -0.976609642210526 -0.971305960736842 -0.947717225684211 0.0740416338421053 0.0282721098094737 -0.00416840681052632 -0.113615602309474 0.0670025003305263 -0.502699789473684 -0.0418309640315789 -0.0695300462063158 0.0849448173347368 -0.47353548568421 -0.0546077685578947 -0.344266629368421 -0.0899975431894737 -0.0398428705221053 -0.0461309292526316 -0.2074218536 -0.304468509894737 -0.404255453263158 -0.136971176630526 -0.219688645505263 -0.136971176630526 -0.219688645505263 -0.141428809063158 -0.0744717504831579 -0.160979552757895 -0.186978364305263 -0.298703678242105 -0.325324879631579 -0.202794306536842 0.0897127260894737 -0.331560117684211 -0.319134719052632 0.0560400064273684 -0.2796867516 -0.170546965071579 -0.0352255245667368 -0.468999225052632 -0.133586606378947 0.106739857091579 -0.534713440736842 -0.339032197115789 -0.103059415905263 -0.255940941473684 -0.516691938526316 -0.033508159748421 -0.436562228 -0.128623450631579 -0.398032586947368 -0.0571194001115789 -0.103492403157895 -0.199252570273684 -0.321017954421053 -0.319308593989474 -0.381601911473684
1 "WALKING_DOWNSTAIRS" 0.289188320204082 -0.00991850461632653 -0.107566190908163 0.0300353381381633 -0.0319359427755102 -0.230434213408163 0.93187441877551 -0.266610338571429 -0.0621199582265306 -0.950559812040816 -0.937018658571429 -0.895939695306122 0.054155317 0.0296504494693878 -0.0109719727142857 -0.012283860455102 -0.101601391871429 -0.345735033142857 -0.0350781899510204 -0.0909371282040816 0.0900850141102041 -0.45803054355102 -0.126349194877551 -0.124702454244898 -0.0739592037489796 -0.0439902784183673 -0.0270461066285714 -0.487027341632653 -0.238824827285714 -0.26876148032449 0.0271882913163265 0.019884350577551 0.0271882913163265 0.019884350577551 -0.0894474805714286 -0.0257877204632653 -0.0757412546959184 -0.225724367469388 -0.295463842326531 -0.306510644510204 0.0382291831489796 0.00154990694285714 -0.225574472306122 0.0243308385244898 -0.112963740979592 -0.297927896326531 -0.0276638675510204 -0.128667158673469 -0.288334734489796 -0.0863278950020408 -0.134580009081633 -0.401721463061224 -0.352449631771429 -0.0557022532857143 -0.0318694281938776 -0.495422486306122 -0.181414727657143 -0.238443565979592 0.096584534222449 -0.186530300257143 0.0262184950653061 -0.104052259673469 -0.18572028644898 -0.398350391346939 -0.281963359993878 -0.391919877836735
1 "WALKING_UPSTAIRS" 0.255461690566038 -0.0239531493358491 -0.0973020020943396 -0.35470802490566 -0.0023202649490566 -0.0194792386622641 0.893351098113208 -0.362153363773585 -0.0754029401320755 -0.956367026981132 -0.952849233018868 -0.912379410188679 0.101372730537736 0.0194863076226415 -0.0455625447358491 -0.446843887924528 -0.378274426981132 -0.706593531698113 0.0505493805283019 -0.16617001409434 0.0583595463962264 -0.544871103773585 0.00410518301698113 -0.507168675471698 -0.122232768698113 -0.0421485884377358 -0.0407125527528302 -0.614786509056604 -0.601696656415094 -0.606332002641509 -0.129927630811321 -0.324970928867925 -0.129927630811321 -0.324970928867925 -0.466503445849057 -0.478991621698113 -0.126735590028302 -0.148619318603774 -0.59488286490566 -0.648553043962264 -0.404321783396226 -0.190976720811321 -0.433349702264151 -0.337428188679245 0.0217695106792453 0.0859565542283019 -0.47987524490566 -0.413444588301887 -0.685474353396226 -0.461907025471698 -0.38177706509434 -0.726040200377359 -0.492611668490566 -0.319474609245283 -0.453597213584906 -0.565892490754717 0.151538904622641 -0.571707840754717 -0.352395945471698 -0.416260102264151 -0.44265216245283 -0.533059853396226 -0.325961457377358 -0.182985517698113 -0.634665082830189 -0.693930521320755
2 "LAYING" 0.281373404166667 -0.0181587396875 -0.107245609708333 -0.974059463958333 -0.980277398541667 -0.98423329625 -0.509754237708333 0.75253664 0.646834879583333 -0.959014441458333 -0.988211864166667 -0.984230417916667 0.0825972510416667 0.01225478836875 -0.0018026489875 -0.985872169166667 -0.983172540625 -0.988442014166667 -0.0184766067833333 -0.111800824166667 0.1448828450625 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.1019741341875 -0.03585901775 -0.070178303125 -0.993235849166667 -0.989567537291667 -0.988035820625 -0.977435484791667 -0.97287391375 -0.977435484791667 -0.97287391375 -0.987741695416667 -0.985518075833333 -0.95001157 -0.961164054375 -0.991767074375 -0.989718095 -0.976725059791667 -0.979800877291667 -0.984380981875 -0.9732464825 -0.981025106041667 -0.984792185416667 -0.985813631666667 -0.982768249791667 -0.986197134166667 -0.987250255208333 -0.9849873925 -0.989345368541667 -0.986431141666667 -0.983321634375 -0.962671888333333 -0.98886068625 -0.981910616041667 -0.963174222916667 -0.975110196041667 -0.975121388125 -0.985374114583333 -0.984568489791667 -0.972112971875 -0.961098379583333 -0.990248701458333 -0.98949266125
2 "SITTING" 0.277087351956522 -0.0156879936456522 -0.109218271804348 -0.986822278478261 -0.9507045 -0.959828171304348 0.940477272391304 -0.10563002407587 0.19872676876087 -0.97998876173913 -0.956750274130435 -0.954415872826087 0.0722564388043478 0.0116954511326087 0.00760546915652174 -0.98805585326087 -0.977983955434783 -0.987518210652174 -0.0454706620217391 -0.0599286796956522 0.041227746173913 -0.985742025869565 -0.978919526304348 -0.959803710217391 -0.0936328413043478 -0.0415602029130435 -0.043585096673913 -0.989709023043478 -0.990889616086956 -0.985542324565217 -0.96789362326087 -0.953081442608696 -0.96789362326087 -0.953081442608696 -0.986774712173913 -0.984475868478261 -0.946035085217391 -0.961313625434783 -0.991081494565217 -0.989594920652174 -0.985803840869565 -0.957343499565217 -0.970162171956522 -0.987362089565217 -0.950073754347826 -0.956862865 -0.98784879326087 -0.977139701086956 -0.98512904826087 -0.989459108913043 -0.980804226956522 -0.988570803913044 -0.98262139 -0.982100922391304 -0.95981482173913 -0.98680850173913 -0.977356189782609 -0.963522660869565 -0.961273748478261 -0.955575603695652 -0.983874697173913 -0.984124184565217 -0.971840594347826 -0.961385745652174 -0.989861950652174 -0.989632909130435
2 "STANDING" 0.277911472592593 -0.0184208272222222 -0.105908535666667 -0.98727189 -0.957304990185185 -0.949741850925926 0.896928567962963 -0.370062697777778 0.129747160981481 -0.986685818888889 -0.974194419259259 -0.945927079074074 0.0747588596851852 0.0103291774814815 -0.00837158836296296 -0.98108571537037 -0.97105944037037 -0.982841446296296 -0.0238623875092593 -0.0820396579074074 0.0878351706777778 -0.97299863 -0.971441997592593 -0.964856702777778 -0.105562157703704 -0.0422419535555556 -0.0546539476648148 -0.979324001666667 -0.983447259444444 -0.973610117222222 -0.965875182407407 -0.957874965925926 -0.965875182407407 -0.957874965925926 -0.980489077777778 -0.976675279814815 -0.963466341481481 -0.953943379259259 -0.983951903333333 -0.977204428518519 -0.983946738703704 -0.959871698148148 -0.962471195 -0.98905646962963 -0.957908842037037 -0.946433584814815 -0.980973242037037 -0.970851338333333 -0.979775152592593 -0.983007924814815 -0.973520239814815 -0.984599906111111 -0.967037112037037 -0.972576153333333 -0.960627696851852 -0.974988123333333 -0.971036049444444 -0.969754296111111 -0.964052166481482 -0.960519382777778 -0.97706529462963 -0.975160459814815 -0.961775904074074 -0.956788727037037 -0.977849828703704 -0.977754296851852
2 "WALKING" 0.276426586779661 -0.0185949199576271 -0.105500358474576 -0.423642838474576 -0.0780912525762712 -0.425257524915254 0.913017333728814 -0.346607089830508 0.0847270870677966 -0.972693201355932 -0.972116879152542 -0.972072846949153 0.0618080696830508 0.0182492682542373 0.00789533742372881 -0.27753046279661 -0.0166022369728814 -0.586090418644068 -0.05302581583 -0.0482382324067797 0.0828336634915254 -0.561550256101695 -0.538453667457627 -0.481085535423729 -0.0818833429491525 -0.0538299449118644 -0.0514939157067797 -0.389549832033898 -0.63414043661017 -0.435492676610169 -0.290407593050847 -0.422544169830508 -0.290407593050847 -0.422544169830508 -0.28142415438983 -0.164150984788136 -0.446549092711864 -0.553019916610169 -0.547911950677966 -0.557798150847458 -0.346048160169492 -0.0219048102711864 -0.453806369152542 -0.457651383389831 -0.169219686033898 -0.455222145762712 -0.304615323050847 -0.0787640832881356 -0.554956710508475 -0.314313063067797 -0.0153329526949153 -0.61589818779661 -0.429713535423729 -0.554772112542373 -0.396659907288136 -0.604053018305085 -0.533046953050847 -0.559856634576271 -0.324289427932203 -0.577105211186441 -0.169064352135593 -0.164091968601695 -0.530704815084746 -0.651792839322034 -0.583249292881356 -0.55810455559322
